key,en,vi,ru,cn,jp,kr,in,de
"""Stage 70 Milestone""","""Stage 70 Milestone""","""Cột mốc Giai đoạn 70""","""Этап 70: Веха""","""第70阶段里程碑""","""ステージ70のマイルストーン""","""70단계 이정표""","""चरण 70 माइлस्टोन""","""Stufe 70 Meilenstein"""
"""Complete stage 70 to receive A-rank Team (Alexandra, Anna, Victorya) 2 Star level 1, 50,000 Chip, 50 MSCI Memory, 20 Blind Bag and 7 Hero Gacha Ticket""","""Complete stage 70 to receive A-rank Team (Alexandra, Anna, Victorya) 2 Star level 1, 50,000 Chip, 50 MSCI Memory, 20 Blind Bag and 7 Hero Gacha Ticket""","""Hoàn thành giai đoạn 70 để nhận Đội A-rank (Alexandra, Anna, Victorya) 2 Sao cấp 1, 50.000 Chip, 50 Thẻ nhớ MSCI, 20 Túi mù và 7 Vé Gacha Hero""","""Завершите этап 70, чтобы получить команду ранга А (Александра, Анна, Виктория) 2 звезды 1 уровня, 50 000 фишек, 50 памяти MSCI, 20 слепых мешков и 7 билетов на гачу Героя""","""完成第70阶段以获得A级团队（Alexandra, Anna, Victorya）2星1级、50,000筹码、50个MSCI记忆卡、20个盲袋和7张英雄扭蛋券""","""ステージ70を完了してAランクチーム（アレクサンドラ、アンナ、ヴィクトリア）2スターレベル1、50,000チップ、MSCIメモリーカード50個、ブラインドバッグ20個、ヒーローガチャチケット7枚を受け取る""","""70단계를 완료하여 A등급 팀(알렉산드라, 안나, 빅토리아) 2성 레벨 1, 50,000 칩, MSCI 메모리 카드 50개, 블라인드 백 20개 및 영웅 가챠 티켓 7장을 받으세요""","""चरण 70 पूरा करें और ए-रैнк टीम (एलेक्जेंड्रा, अन्ना, विकटोरिया) 2 स्टार स्तर 1, 50,000 चिप, 50 एमएससीआई मेमोरी कार्ड, 20 ब्लाइंड बैग और 7 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 70, um A-Rang-Team (Alexandra, Anna, Victorya) 2 Stern Level 1, 50.000 Chips, 50 MSCI-Speicherkarten, 20 Blind Bags und 7 Helden-Gacha-Tickets zu erhalten"""
"""Stage 75 Milestone""","""Stage 75 Milestone""","""Cột mốc Giai đoạn 75""","""Этап 75: Веха""","""第75阶段里程碑""","""ステージ75のマイルストーン""","""75단계 이정표""","""चरण 75 माइлस्टोन""","""Stufe 75 Meilenstein"""
"""Complete stage 75 to receive A-rank Team (Alexandra, Anna, Victorya) 3 Star level 1, 50,000 Chip, 50 MSCI Memory and 20 Blind Bag""","""Complete stage 75 to receive A-rank Team (Alexandra, Anna, Victorya) 3 Star level 1, 50,000 Chip, 50 MSCI Memory and 20 Blind Bag""","""Hoàn thành giai đoạn 75 để nhận Đội A-rank (Alexandra, Anna, Victorya) 3 Sao cấp 1, 50.000 Chip, 50 Thẻ nhớ MSCI và 20 Túi mù""","""Завершите этап 75, чтобы получить команду ранга А (Александра, Анна, Виктория) 3 звезды 1 уровня, 50 000 фишек, 50 памяти MSCI и 20 слепых мешков""","""完成第75阶段以获得A级团队（Alexandra, Anna, Victorya）3星1级、50,000筹码、50个MSCI记忆卡和20个盲袋""","""ステージ75を完了してAランクチーム（アレクサンドラ、アンナ、ヴィクトリア）3スターレベル1、50,000チップ、MSCIメモリーカード50個、ブラインドバッグ20個を受け取る""","""75단계를 완료하여 A등급 팀(알렉산드라, 안나, 빅토리아) 3성 레벨 1, 50,000 칩, MSCI 메모리 카드 50개 및 블라인드 백 20개를 받으세요""","""चरण 75 पूरा करें और ए-रैंक टीम (एलेक्जेंड्रा, अन्ना, विकटोरिया) 3 स्टार स्तर 1, 50,000 चिप, 50 एमएससीआई मेमोरी कार्ड और 20 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 75, um A-Rang-Team (Alexandra, Anna, Victorya) 3 Stern Level 1, 50.000 Chips, 50 MSCI-Speicherkarten und 20 Blind Bags zu erhalten"""
"""Stage 80 Milestone""","""Stage 80 Milestone""","""Cột mốc Giai đoạn 80""","""Этап 80: Веха""","""第80阶段里程碑""","""ステージ80のマイルストーン""","""80단계 이정표""","""चरण 80 माइлस्टोन""","""Stufe 80 Meilenstein"""
"""Complete stage 80 to receive A-rank Team (Alexandra, Anna, Victorya) 4 Star level 1, 50,000 Chip, 50 MSCI Memory, 20 Blind Bag and 8 Hero Gacha Ticket""","""Complete stage 80 to receive A-rank Team (Alexandra, Anna, Victorya) 4 Star level 1, 50,000 Chip, 50 MSCI Memory, 20 Blind Bag and 8 Hero Gacha Ticket""","""Hoàn thành giai đoạn 80 để nhận Đội A-rank (Alexandra, Anna, Victorya) 4 Sao cấp 1, 50.000 Chip, 50 Thẻ nhớ MSCI, 20 Túi mù và 8 Vé Gacha Hero""","""Завершите этап 80, чтобы получить команду ранга А (Александра, Анна, Виктория) 4 звезды 1 уровня, 50 000 фишек, 50 памяти MSCI и 20 слепых мешков""","""完成第80阶段以获得A级团队（Alexandra, Anna, Victorya）4星1级、50,000筹码、50个MSCI记忆卡、20个盲袋和8张英雄扭蛋券""","""ステージ80を完了してAランクチーム（アレクサンドラ、アンナ、ヴィクトリア）4スターレベル1、50,000チップ、MSCIメモリーカード50個、ブラインドバッグ20個、ヒーローガチャチケット8枚を受け取る""","""80단계를 완료하여 A등급 팀(알렉산드라, 안나, 빅토리아) 4성 레벨 1, 50,000 칩, MSCI 메모리 카드 50개, 블라인드 백 20개 및 영웅 가챠 티켓 8장을 받으세요""","""चरण 80 पूरा करें और ए-रैंक टीम (एलेक्जेंड्रा, अन्ना, विकтोरिया) 4 स्टार स्तर 1, 50,000 चिप, 50 एमएससीआई मेमोरी कार्ड, 20 ब्लाइंड बैग और 8 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 80, um A-Rang-Team (Alexandra, Anna, Victorya) 4 Stern Level 1, 50.000 Chips, 50 MSCI-Speicherkarten und 20 Blind Bags zu erhalten"""
"""Stage 85 Milestone""","""Stage 85 Milestone""","""Cột mốc Giai đoạn 85""","""Этап 85: Веха""","""第85阶段里程碑""","""ステージ85のマイルストーン""","""85단계 이정표""","""चरण 85 माइлस्टोन""","""Stufe 85 Meilenstein"""
"""Complete stage 85 to receive Akane 1 Star level 1, 100,000 Chip, 100 MSCI Memory and 50 Blind Bag""","""Complete stage 85 to receive Akane 1 Star level 1, 100,000 Chip, 100 MSCI Memory and 50 Blind Bag""","""Hoàn thành giai đoạn 85 để nhận Akane 1 Sao cấp 1, 100.000 Chip, 100 Thẻ nhớ MSCI và 50 Túi mù""","""Завершите этап 85, чтобы получить Акане 1 звезду 1 уровня, 100 000 фишек, 100 памяти MSCI и 50 слепых мешков""","""完成第85阶段以获得Akane 1星1级、100,000筹码、100个MSCI记忆卡和50个盲袋""","""ステージ85を完了してアカネ1スターレベル1、100,000チップ、MSCIメモリーカード100個、ブラインドバッグ50個を受け取る""","""85단계를 완료하여 아카네 1성 레벨 1, 100,000 칩, MSCI 메모리 카드 100개 및 블라인드 백 50개를 받으세요""","""चरण 85 पूरा करें और अकाने 1 स्टार स्तर 1, 100,000 चिप, 100 एमएससीआई मेमोरी कार्ड और 50 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 85, um Akane 1 Stern Level 1, 100.000 Chips, 100 MSCI-Speicherkarten und 50 Blind Bags zu erhalten"""
"""Stage 90 Milestone""","""Stage 90 Milestone""","""Cột mốc Giai đoạn 90""","""Этап 90: Веха""","""第90阶段里程碑""","""ステージ90のマイルストーン""","""90단계 이정표""","""चरण 90 माइлस्टोन""","""Stufe 90 Meilenstein"""
"""Complete stage 90 to receive Alice 1 Star level 1, 100,000 Chip, 100 MSCI Memory, 50 Blind Bag and 9 Hero Gacha Ticket""","""Complete stage 90 to receive Alice 1 Star level 1, 100,000 Chip, 100 MSCI Memory, 50 Blind Bag and 9 Hero Gacha Ticket""","""Hoàn thành giai đoạn 90 để nhận Alice 1 Sao cấp 1, 100.000 Chip, 100 Thẻ nhớ MSCI, 50 Túi mù và 9 Vé Gacha Hero""","""Завершите этап 90, чтобы получить Алису 1 звезду 1 уровня, 100 000 фишек, 100 памяти MSCI, 50 слепых мешков и 9 билетов на гачу Героя""","""完成第90阶段以获得Alice 1星1级、100,000筹码、100个MSCI记忆卡、50个盲袋和9张英雄扭蛋券""","""ステージ90を完了してアリス1スターレベル1、100,000チップ、MSCIメモリーカード100個、ブラインドバッグ50個、ヒーローガチャチケット9枚を受け取る""","""90단계를 완료하여 앨리스 1성 레벨 1, 100,000 칩, MSCI 메모리 카드 100개, 블라인드 백 50개 및 영웅 가챠 티켓 9장을 받으세요""","""चरण 90 पूरा करें और एलिस 1 स्टार स्तर 1, 100,000 चिप, 100 एमएससीआई मेमोरी कार्ड, 50 ब्लाइंड बैग और 9 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 90, um Alice 1 Stern Level 1, 100.000 Chips, 100 MSCI-Speicherkarten, 50 Blind Bags und 9 Helden-Gacha-Tickets zu erhalten"""
"""Stage 95 Milestone""","""Stage 95 Milestone""","""Cột mốc Giai đoạn 95""","""Этап 95: Веха""","""第95阶段里程碑""","""ステージ95のマイルストーン""","""95단계 이정표""","""चरण 95 माइلस्टोन""","""Stufe 95 Meilenstein"""
"""Complete stage 95 to receive Caitlyn 1 Star level 1, 100,000 Chip, 100 MSCI Memory and 50 Blind Bag""","""Complete stage 95 to receive Caitlyn 1 Star level 1, 100,000 Chip, 100 MSCI Memory and 50 Blind Bag""","""Hoàn thành giai đoạn 95 để nhận Caitlyn 1 Sao cấp 1, 100.000 Chip, 100 Thẻ nhớ MSCI và 50 Túi mù""","""Завершите этап 95, чтобы получить Кейтлин 1 звезду 1 уровня, 100 000 фишек, 100 памяти MSCI и 50 слепых мешков""","""完成第95阶段以获得Caitlyn 1星1级、100,000筹码、100个MSCI记忆卡和50个盲袋""","""ステージ95を完了してケイトリン1スターレベル1、100,000チップ、MSCIメモリーカード100個、ブラインドバッグ50個を受け取る""","""95단계를 완료하여 케이틀린 1성 레벨 1, 100,000 칩, MSCI 메모리 카드 100개 및 블라인드 백 50개를 받으세요""","""चरण 95 पूरा करें और कैटलिन 1 स्टार स्तर 1, 100,000 चिप, 100 एमएससीआई मेमोरी कार्ड और 50 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 95, um Caitlyn 1 Stern Level 1, 100.000 Chips, 100 MSCI-Speicherkarten und 50 Blind Bags zu erhalten"""
"""Stage 100 Milestone""","""Stage 100 Milestone""","""Cột mốc Giai đoạn 100""","""Этап 100: Веха""","""第100阶段里程碑""","""ステージ100のマイルストーン""","""100단계 이정표""","""चरण 100 माइलस्टोन""","""Stufe 100 Meilenstein"""
"""Complete stage 100 to receive Akane 1 Star level 1, 100,000 Chip, 100 MSCI Memory, 100 Blind Bag and 10 Hero Gacha Ticket""","""Complete stage 100 to receive Akane 1 Star level 1, 100,000 Chip, 100 MSCI Memory, 100 Blind Bag and 10 Hero Gacha Ticket""","""Hoàn thành giai đoạn 100 để nhận Akane 1 Sao cấp 1, 100.000 Chip, 100 Thẻ nhớ MSCI, 100 Túi mù và 10 Vé Gacha Hero""","""Завершите этап 100, чтобы получить Акане 1 звезду 1 уровня, 100 000 фишек, 100 памяти MSCI, 100 слепых мешков и 10 билетов на гачу Героя""","""完成第100阶段以获得Akane 1星1级、100,000筹码、100个MSCI记忆卡、100个盲袋和10张英雄扭蛋券""","""ステージ100を完了してアカネ1スターレベル1、100,000チップ、MSCIメモリーカード100個、ブラインドバッグ100個、ヒーローガチャチケット10枚を受け取る""","""100단계를 완료하여 아카네 1성 레벨 1, 100,000 칩, MSCI 메모리 카드 100개, 블라인드 백 100개 및 영웅 가챠 티켓 10장을 받으세요""","""चरण 100 पूरा करें और अकाने 1 स्टार स्तर 1, 100,000 चिप, 100 एमएससीआई मेमोरी कार्ड, 100 ब्लाइंड बैग और 10 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 100, um Akane 1 Stern Level 1, 100.000 Chips, 100 MSCI-Speicherkarten, 100 Blind Bags und 10 Helden-Gacha-Tickets zu erhalten"""
